PuzzleId,SF_Material,SF_Positional,SF_Final_Eval
AQplD,0.05,-0.94,1.16
VTbVJ,0.66,-0.49,0.16
DuLn4,0.16,-0.78,0.7
JGXkb,2.45,1.63,-4.96
qYUXR,-0.26,0.12,-0.15
DgGnY,1.34,0.43,2.06
dSVyo,0.43,0.56,1.19
YEW1J,0.01,0.34,-0.37
MccOL,0.59,-0.23,0.38
uPKu6,-0.33,-0.35,0.86
qWJ0E,,,
kI0g0,0.72,0.29,1.25
SOqtZ,0.25,0.56,-0.97
wMqqs,0.06,0.9,-1.18
dE4Yg,-0.03,-0.09,0.13
OMAUB,0.02,0.83,1.02
Jp7GL,1.75,-0.12,1.84
W5oo6,0.85,0.21,1.11
ZcI5u,-0.4,0.14,-0.28
arajY,0.61,1.41,-2.24
1dvHc,0.61,1.03,2.01
I1Y0X,2.28,-1.4,-0.87
LbgCc,-0.14,-0.59,0.78
YWfHc,1.06,1.04,-2.35
Gzhn2,0.54,0.35,1.13
aYW75,0.72,0.01,-0.83
JGHKd,-0.84,-1.38,2.51
FXrXM,-0.0,-1.37,1.68
S6xOl,-0.12,0.17,0.05
N9ifZ,0.07,0.22,0.37
4glJ8,1.84,-1.13,0.67
OuSY2,1.51,1.02,2.95
adCNH,2.17,-1.81,-0.28
gKq4a,0.53,-0.62,-0.13
Aigys,-0.18,0.11,0.08
GycBT,0.55,-0.07,-0.51
rksWv,5.47,-0.4,3.6
nOSZx,0.31,0.39,-0.79
AfoBE,1.6,1.22,-3.44
eZjUf,0.82,0.13,1.01
2dnvk,0.37,-1.38,1.24
8Mz2Z,0.54,0.8,1.59
5EHeb,1.67,-0.03,-1.9
Hqcw8,2.39,-0.69,-1.81
pj6rZ,,,
xtj7A,0.61,0.64,-1.39
ZJh7X,,,
iCXID,1.09,-2.03,1.17
DrkyS,-0.17,0.53,-0.47
tTJrg,-0.28,0.07,-0.24
O8N6A,-0.05,-0.31,0.42
4MuhI,0.01,-0.64,0.82
W5oM8,0.24,1.4,-1.69
XOyuf,0.83,1.15,2.27
K0sKm,0.52,-0.24,-0.28
VqItT,6.09,-0.58,-5.19
TtNOE,,,
u8Fqs,0.21,0.1,0.39
bJkUc,0.61,0.73,1.71
1AECO,1.1,0.8,-2.32
UXYzv,-2.13,1.0,1.22
EYbO7,1.83,-0.15,-1.9
bZwmg,3.7,0.54,-2.74
uhtdV,0.6,0.38,-1.21
xMgbn,0.86,1.31,-2.48
Dco8K,,,
AkpzK,1.76,-1.1,0.69
iNnsK,0.5,-0.73,-0.31
a4w3a,0.37,0.2,0.72
6qUX7,-0.15,0.29,-0.18
abgSE,0.02,-1.73,-1.96
SqhEo,-0.25,-1.49,2.1
Qi9lP,3.0,0.11,-3.57
HqO05,0.3,-0.82,-0.63
5ncRN,1.1,0.82,2.19
ju2t0,0.32,0.66,1.05
9Q4ak,0.21,0.46,-0.86
v9aJL,0.77,-0.08,-0.81
GNYyP,0.67,0.79,1.73
SlhR9,0.31,-1.88,-1.92
oPi0l,0.59,0.56,1.41
4sKGa,0.62,0.73,1.39
u4Zi0,0.48,-0.76,-0.37
2iOz0,1.2,0.68,2.12
x83ec,-0.07,0.08,-0.01
69yjN,0.99,0.89,-2.19
ejyZJ,-0.48,-0.04,0.6
W0bWm,0.77,0.02,0.82
e1YnY,0.22,0.28,0.63
woX8B,1.86,-0.2,-1.88
LKXPJ,0.47,1.29,-1.98
7cnD9,0.69,-0.25,-0.49
j4896,-0.59,0.91,0.43
hsTK0,2.56,1.41,-4.19
uPBi9,,,
eMFam,-0.19,0.02,0.2
idNiH,-0.26,-0.63,-0.92
8Cj0s,-0.05,0.13,-0.09
RlXxv,0.49,0.4,0.92
dtHzD,0.56,-0.41,-0.15
zGopN,-0.29,0.25,-0.03
LeLW6,-0.6,-2.43,3.61
t8d0q,,,
IyJAk,0.52,-1.43,1.18
hBh2X,,,
v6r1K,0.07,0.53,0.78
78lc0,0.12,0.51,0.73
NQY8i,,,
TvKUY,1.45,-0.35,1.31
Sx61M,0.13,-0.42,0.37
KV4sd,0.59,-0.2,-0.41
hAA1d,1.21,-0.13,-1.19
qWzJ9,1.09,0.79,-2.08
rY4DY,-0.3,-0.59,1.09
kVxDY,0.03,-0.07,0.05
JnY0D,0.69,-0.91,0.27
E6xWP,0.27,-0.8,0.68
ACAq9,-0.7,-0.36,1.36
5ZNy6,-0.29,0.09,0.22
M68zu,,,
oEIqC,2.34,-0.2,2.13
